;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Mexico;0.2415;0.2601;0.2433;0.2459;0.2463;0.2541;0.2267;0.2255;0.2436;0.2841;0.3038;0.2733;0.2753;0.2770;0.2715;0.2970;0.3104;0.3227;0.3131;0.3189;0.3456;0.3710;0.3763;5.0000
Moldova;;;;;;;0.5006;0.5246;0.5331;0.5119;0.5116;0.4526;0.4558;0.4082;0.3687;0.2783;0.3254;0.3113;0.3209;0.3117;0.3190;0.3231;0.3110;5.0000
Mongolia;;;0.5267;0.4784;0.5016;0.5400;0.5032;0.5073;0.5235;0.6079;0.5877;0.5944;0.5961;0.5402;0.5028;0.4668;0.5255;0.4357;0.3889;0.5225;0.4565;0.5020;0.5975;5.0000
Montenegro;;;;;;;;;;;;;;;;;;0.4367;0.4134;0.4014;0.4212;0.4046;0.4106;5.0000
Morocco;0.2267;0.2184;0.2392;0.2340;0.2515;0.2679;0.2821;0.2892;0.2750;0.2811;0.3092;0.3276;0.3457;0.3574;0.2800;0.3223;0.3470;0.3493;0.3278;0.3463;0.3480;0.3518;0.3711;5.0000
Mozambique;0.1321;0.1318;0.1201;0.1093;0.1017;0.1283;0.2112;0.2441;0.2556;0.2893;0.3019;0.3022;0.3084;0.2934;0.2997;0.3151;0.3343;0.3238;0.3037;0.3336;0.3222;0.3679;0.4072;5.0000
Myanmar;;;;;;0.0054;0.0047;0.0029;0.0021;0.0019;0.0018;0.0016;0.0014;0.0012;0.0010;0.0011;0.0010;0.1150;0.1964;0.2009;0.2080;0.1500;0.1996;5.0000
Namibia;0.4510;0.4591;0.4319;0.4187;0.4197;0.4167;0.4201;0.4721;0.4446;0.4059;0.4124;0.4630;0.5048;0.5435;0.5235;0.4776;0.4553;0.4341;0.4119;0.3871;0.3841;0.4109;0.3751;5.0000
Nepal;;;;;;;;;;0.1668;0.1458;0.1345;0.1286;0.1278;0.1242;0.0958;0.0890;0.1007;0.1069;0.1151;0.1162;0.0947;0.0910;5.0000
Netherlands;;;;;;;;;;;;;;;;;;;;;;;;5.0000
New Zealand;0.2939;0.2835;0.2832;0.2962;0.3095;0.3575;0.3543;0.3285;0.2984;0.2954;0.2829;0.2959;0.2925;0.3204;0.2874;0.3026;0.3036;0.2886;0.2883;0.2802;0.2785;0.2644;0.2757;5.0000
Nicaragua;0.1610;0.1685;0.1942;0.1933;0.1853;0.2011;0.1904;0.1885;0.2070;0.2306;0.2438;0.3127;0.3306;0.3447;0.3398;0.4047;0.4502;0.4747;0.4521;0.4501;0.4008;0.3888;0.4117;5.0000
Niger;0.1768;0.1854;0.1682;0.1778;0.1590;0.1780;0.1692;0.1591;0.1520;0.1736;0.1660;0.1641;0.1743;0.1781;0.2041;0.2220;0.2090;0.2186;0.2264;0.2102;0.1827;0.1717;0.1662;5.0000
Nigeria;0.2416;0.2302;0.2865;0.1814;0.2133;0.3602;0.2825;0.2324;0.2675;0.2025;0.2103;0.2952;0.2124;0.2567;0.1863;0.2566;0.3162;0.3155;0.1805;0.1844;0.1066;0.0922;0.1317;5.0000
North Macedonia;;;;;;;;;0.2766;0.3070;0.3481;0.3779;0.4412;0.4322;0.3281;0.3979;0.4712;0.4537;0.4340;0.4766;0.4874;0.5066;0.5540;5.0000
Norway;0.3718;0.3994;0.4056;0.3691;0.3860;0.4571;0.4495;0.4039;0.3965;0.4111;0.4343;0.4466;0.4328;0.4589;0.3919;0.3973;0.4123;0.4057;0.3914;0.3878;0.3772;0.3522;0.3622;5.0000
Oman;;;;;;0.5369;0.5170;0.4910;0.4976;0.5138;0.5828;0.5617;0.5648;0.5848;0.5064;0.6565;0.7291;0.7149;0.7537;0.7025;0.5671;0.4708;0.5212;5.0000
Pakistan;0.1671;0.1690;0.1608;0.1648;0.1535;0.1344;0.1466;0.1522;0.1672;0.1567;0.1569;0.1413;0.1321;0.1238;0.1240;0.1352;0.1397;0.1240;0.1328;0.1224;0.1060;0.0915;0.0824;5.0000
Panama;;;0.7699;0.6765;0.5685;0.6201;0.6214;0.5764;0.5434;0.5777;0.6450;0.6617;0.7146;0.7809;0.6981;0.7004;0.7823;0.7519;0.6516;0.5536;0.4769;0.4218;0.4226;5.0000
Papua New Guinea;0.6104;0.5940;0.4916;0.5404;0.6312;0.6618;0.6533;0.6092;0.6942;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;0.7216;5.0000
Paraguay;0.6178;0.5274;0.4847;0.5464;0.4279;0.4333;0.4064;0.4748;0.4714;0.4569;0.4759;0.4629;0.4337;0.3986;0.3624;0.4043;0.3921;0.3688;0.3717;0.3481;0.3300;0.3538;0.3638;5.0000
Peru;0.1260;0.1332;0.1448;0.1370;0.1540;0.1677;0.1660;0.1727;0.1901;0.2291;0.2685;0.3054;0.3152;0.2973;0.2644;0.2783;0.3050;0.2745;0.2481;0.2259;0.2129;0.2260;0.2457;5.0000
Philippines;0.3636;0.4051;0.4896;0.4476;0.4549;0.5137;0.4603;0.4675;0.4716;0.4857;0.4614;0.4658;0.4326;0.3691;0.3223;0.3480;0.3203;0.3082;0.2802;0.2891;0.2840;0.2810;0.3102;5.0000
Poland;0.2296;0.2209;0.2336;0.2598;0.2412;0.2723;0.2723;0.2876;0.3339;;;;;;;;;;;;;;;5.0000
Portugal;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Qatar;0.4434;0.4373;0.4828;0.5110;0.6004;0.6728;0.6589;0.6034;0.6170;0.6417;0.6509;0.6282;0.6028;0.6136;0.5113;0.6232;0.7262;0.7647;0.7272;0.6800;0.5706;0.4771;0.5104;5.0000
Romania;0.2563;0.2646;0.2820;0.2302;0.2666;0.2159;0.2211;0.2401;0.2421;0.2574;0.2454;0.2477;;;;;;;;;;;;5.0000
Russia;;;;;;;;;;;;;;;;;;0.2688;0.2579;0.2710;0.2871;0.2574;0.2605;5.0000
Rwanda;0.0515;0.0603;0.0780;0.0559;0.0596;0.0604;0.0811;0.0675;0.0811;0.1069;0.1098;0.1229;0.1572;0.1253;0.1175;0.1202;0.1365;0.1279;0.1409;0.1472;0.1424;0.1492;0.1824;5.0000
Samoa;;;;;;;;;;;;;;;;;;0.2695;0.2763;0.2730;0.2782;0.3087;0.3115;5.0000
Saudi Arabia;;;;;;;;;;;0.5705;0.5983;0.5994;0.6211;0.4709;0.4957;0.5605;0.5427;0.5192;0.4688;0.3332;0.3114;0.3485;5.0000
Senegal;0.3087;0.2698;0.2731;0.2770;0.2806;0.2793;0.2873;0.2855;0.2662;0.2714;0.2702;0.2563;0.2010;0.2064;0.1918;0.1983;0.2119;0.2226;0.2220;0.2178;0.2268;0.2156;0.2181;5.0000
Seychelles;;;;;;;;;;;;;;;;;;;;;0.8109;0.8068;0.8989;5.0000
Sierra Leone;0.1859;0.1745;0.1320;0.1406;0.1383;0.1813;0.0784;0.0855;0.1392;0.1647;0.1757;0.1687;0.1560;0.1352;0.1350;0.1679;0.1627;0.3291;0.2863;0.3076;0.1936;0.2491;0.2605;5.0000
Singapore;1.8112;1.7564;1.6930;1.6679;1.7675;1.8835;1.8289;1.8409;2.0259;2.1395;2.2516;2.2804;2.1278;2.2899;1.9084;1.9800;2.0333;1.9672;1.9508;1.9195;1.7838;1.6556;1.7142;5.0000
Slovakia;0.5668;0.5229;0.5507;0.4666;0.4748;0.5407;0.5779;0.5748;0.6219;;;;;;;;;;;;;;;5.0000
