;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Kenya;9046326059.99;12045858436.24;13115773737.57;14093998843.73;12896013576.73;12705357103.01;12986007425.88;13147743910.72;14904517649.85;16095337093.84;18737897744.79;25825524820.81;31958195182.24;35895153327.85;37021512048.82;40000088346.80;41953433591.41;50412754861.02;55096728047.94;61448046801.72;64007750178.60;69188755510.94;78757391333.01;1.0000
Korea;556130926912.75;598099073901.42;557503074772.15;374241351752.48;485248229336.65;561633125839.99;533052076313.53;609020054512.47;680520724062.40;764880644710.65;898137194716.19;1011797457138.50;1122679154632.41;1002219052967.54;901934953364.71;1094499338702.72;1202463682633.85;1222807284485.31;1305604981271.91;1411333926201.24;1382764027113.82;1414804158515.26;1530750923148.70;1.0000
Kuwait;27191689008.04;31493987641.95;30354434553.25;25941929461.94;30121879434.95;37711864406.78;34890772742.09;38137545245.15;47875838926.17;59440108585.00;80797945205.48;101550654720.88;114641097818.44;147395833333.33;105899930507.30;115419050942.08;154027536231.88;174070025008.93;174161142454.16;162631412508.78;114567298105.68;109420059582.92;119551599076.82;1.0000
Kyrgyzstan;;;;1645963749.83;1249061487.01;1369692689.43;1525112241.84;1605640974.29;1919012666.57;2211534585.00;2460248026.18;2834168889.42;3802566170.82;5139957784.91;4690062255.12;4794357795.07;6197766118.60;6605139933.41;7335027591.92;7468096566.71;6678178340.45;6813092065.84;7702934800.13;1.0000
Laos;;;;;;;;;;;;;;;;;;;11942230508.33;13268458231.93;14390391264.26;15805707154.23;16853087485.41;1.0000
Latvia;;;;;7533187605.09;7937758980.30;8350252966.20;9546441564.35;11748433157.05;;;;;;;;;;;;;;;1.0000
Lesotho;1001889856.91;946123275.88;997996028.65;928458205.96;912771290.61;887295267.88;825706961.24;775780697.68;1157832934.55;1511236655.52;1682350934.85;1800105589.60;1716262753.00;1758534994.92;1773199523.23;2361613519.64;2787951880.57;2678475773.45;2526009062.57;2614566292.26;2510312801.26;2323419617.12;2578265355.71;1.0000
Liberia;;;;;;;;;;;;;;;;;;;;;;3277826000.00;3285455000.00;1.0000
Lithuania;;;;;;;12252498921.02;14278357283.74;18802576988.16;;;;;;;;;;;;;;;1.0000
Luxembourg;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Madagascar;3159901231.97;3995028592.79;3545776697.12;3738704467.52;3717515282.53;3877673539.09;4529575347.57;4397254607.61;5474030080.24;4363934494.37;5039293030.82;5515884348.55;7342923489.10;9413002920.97;8550363974.79;8729936135.74;9892702357.57;9919780071.29;10601690871.76;10673516672.67;9744243531.20;9958655044.99;11465850504.01;1.0000
Malawi;1397457932.31;2281034131.36;2663234933.90;1750584265.29;1775921718.11;1743506531.33;1716502862.30;3495748397.63;3208837077.25;3476094498.88;3655909664.14;3998020176.67;4432937045.80;5321012192.34;6191127665.20;6959655570.89;8004000737.31;6028487928.83;5518880768.58;6047813437.32;6373212640.85;5433040159.89;6303292264.19;1.0000
Malaysia;88704944178.63;100854996422.61;100005323301.87;72167753770.89;79148947368.42;93789736842.11;92783947368.42;100845263157.90;110202368421.05;124749736842.11;143534102611.50;162690965596.21;193547824063.30;230813597937.53;202257586267.56;255016609232.87;297951960784.31;314443149443.15;323277158906.98;338061963396.38;296636282166.18;296753497922.57;314707268049.99;1.0000
Maldives;398988954.97;450382327.95;508223602.38;540096397.62;589239753.61;624337145.28;870179738.56;897031250.00;1052121054.69;1226829562.50;1163362437.50;1575200390.63;1868383460.94;2271646187.50;2345294875.00;2588176054.69;2774351760.03;2886170571.70;3295011381.75;3697351596.84;4109424799.72;4414055724.73;4865546025.87;1.0000
Mali;2706425298.37;2780422212.27;2697105694.08;2920358586.75;3439463140.36;2954129565.83;3465305993.48;3889758023.74;4703504466.53;5444474268.42;6245031690.07;6899799785.84;8145694631.88;9750822511.48;10181021770.43;10678749467.47;12978107560.60;12442747897.22;13246412031.41;14345828992.04;13099495529.71;14010787737.84;15339614406.66;1.0000
Malta;3439931906.61;3570271557.88;3705372038.71;3923637971.05;4127313818.34;4306192435.82;4331870647.72;4689832689.83;5456583589.39;;;;;;;;;;;;;;;1.0000
Mauritania;1415296704.12;1442598431.01;1401946853.21;1375115534.07;1405662878.85;1293654175.21;1295539448.36;1324426606.62;1563074859.52;1833444740.38;2184445123.18;3040716679.08;3356757064.46;4031048268.43;3662282133.19;4337794151.38;5166346516.41;5231255478.39;5639818811.90;5372783879.76;4832547925.29;4727937032.28;4975432190.51;1.0000
Mauritius;4040345933.29;4421943910.50;4187367601.73;4169664285.39;4343710332.81;4663313618.19;4613630624.21;4841310238.78;5816553825.08;6578844486.90;6488750453.75;7028803365.70;8150138757.16;9990370016.31;9128843109.16;10003670690.35;11518393367.24;11668685524.13;12129642296.44;12803445933.59;11692287066.38;12232463655.57;13259351418.45;1.0000
Mexico;360073909243.86;410975595310.16;500413483109.18;526502129378.28;600232874042.93;707906744574.64;756706300589.79;772106378935.38;729336319677.45;782240601984.76;877476221382.10;975387131716.09;1052696282278.87;1109989063586.62;900045350649.35;1057801295584.05;1180489601957.61;1201089987015.45;1274443084716.57;1314563967425.24;1170564619927.69;1077827944342.35;1158071006809.62;1.0000
Moldova;;;;;;;1480673594.06;1661818168.42;1980901553.51;2598231467.44;2988338439.32;3408272498.12;4401154128.12;6054806100.85;5439422031.40;6974960345.37;8414360656.30;8709165249.27;9496684701.43;9510219299.50;7745231660.33;8071480540.86;9669759987.03;1.0000
Mongolia;;;1180934202.84;1124440248.98;1057408588.68;1136896123.61;1267997934.31;1396555719.97;1595297355.78;1992066808.10;2523471532.01;3414055566.11;4234999823.31;5623216448.87;4583850367.89;7189481824.07;10409797649.31;12292770631.20;12582122604.19;12226514722.09;11749620619.60;11186734674.38;11433635875.93;1.0000
Montenegro;;;;;;;;;;;;;;;;;;4087725812.67;4464261816.25;4587928884.17;4052913385.83;4374128318.58;4844592066.71;1.0000
Morocco;39030285468.38;43161452678.44;39147844526.08;41806219378.62;41632027599.85;38857251336.34;39459581217.38;42236836820.62;52064058833.97;59626020162.38;62343022650.87;68640825480.92;79041294874.46;92507257783.57;92897320375.82;93216746661.60;101370474295.11;98266306615.36;106825649872.11;110081248587.37;101179808076.36;103345296966.61;109708728848.54;1.0000
